Cultivar,Empresa,Floracion_dias,Altura_cm,Densidad_sem,Rendimiento,Aceite_porcentaje,Rendimiento_Ajustado,Campania,Localidad,Latitud,Longitud,Ensayo,Tipo Ensayo,Epoca,Distancia_surcos,Tipo_Siembra,Densidad_siembra,Fecha_Siembra,Testigo,Visible
ACA 863,ACA,76,117,46136,1961,48.1,2081,2007-2008,Barrow,-38.311904,-60.231644,Barrow  2007-2008,Convencional,Normal,70,Convencional,45000,29/10/2007,NO,SI
ACA 863,ACA,73,113,49052,3112,44.28,3183,2007-2008,Bellocq,-35.932778,-61.487778,Bellocq  2007-2008,Convencional,Normal,70,Directa,48000,08/11/2007,NO,SI
ACA 863,ACA,65,180,44714,3106,50.33,3365,2007-2008,Bulnes,-33.51651972,-64.68343278,Bulnes  2007-2008,Convencional,Normal,52,Convencional,50000,24/10/2007,NO,SI
ACA 863,ACA,70,127,41027,3047,50.38,3302,2007-2008,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2007-2008,Convencional,Normal,70,Convencional,43000,29/10/2007,SI,NO
ACA 863,ACA,76,104,41979,2476,51.31,2707,2007-2008,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2007-2008,Convencional,Normal,70,Directa,44000,29/10/2007,NO,SI
ACA 863,ACA,76,,,2694,52.32,2972,2007-2008,Daireaux,-36.60010556,-61.74992333,Daireaux  2007-2008,Convencional,Normal,70,Convencional,,02/11/2007,NO,SI
ACA 863,ACA,66,170,,2214,50.82,2409,2007-2008,Gualeguay,-33.14982417,-59.36642722,Gualeguay  2007-2008,Convencional,Normal,52,Directa,,1/10/2007,NO,SI
ACA 863,ACA,60,200,,3107,52,3107,2007-2008,Hansenkamp,-31.4996975,-59.83314111,Hansenkamp  2007-2008,Convencional,Normal,52,Directa,,18/10/2007,NO,NO
ACA 863,ACA,65,155,53379,2871,51.04,3131,2007-2008,Huinca Renanco,-34.83329556,-64.3667525,Huinca Renanco  2007-2008,Convencional,Normal,,,,17/10/2007,NO,NO
ACA 863,ACA,79,164,48273,1887,49.16,2022,2007-2008,Las Toscas,-28.34944556,-59.26643694,Las Toscas  2007-2008,Convencional,Normal,70,Convencional,46000,27/08/2007,NO,NO
ACA 863,ACA,52,170,55358,1780,39.53,1736,2007-2008,Manfredi,-31.83306333,-63.75004361,Manfredi  2007-2008,Convencional,Normal,52,Directa,56000,07/12/2007,NO,SI
ACA 863,ACA,58,175,43481,2783,38.47,2685,2007-2008,Manfredi,-31.83306333,-63.75004361,Manfredi  2007-2008,Convencional,Normal,70,Directa,43000,10/12/2007,NO,SI
ACA 863,ACA,83,150,,3193,51.5,3496,2007-2008,Parana,-31.73305611,-60.53317889,Parana  2007-2008,Convencional,Normal,52,Directa,,26/9/2007,NO,SI
ACA 863,ACA,,,,3446,47.27,3628,2007-2008,Pehuajo,-35.8000275,-61.89993139,Pehuajo  2007-2008,Convencional,Normal,70,Convencional,,30/10/2007,NO,SI
ACA 863,ACA,68,135,,3314,51.38,3625,2007-2008,Pergamino,-33.89989778,-60.58318222,Pergamino  2007-2008,Convencional,Normal,70,Convencional,,12/11/2007,NO,NO
ACA 863,ACA,89,177,46408,2743,47.31,2889,2007-2008,Reconquista,-29.14952389,-59.66645806,Reconquista  2007-2008,Convencional,Normal,70,Convencional,46000,23/08/2007,NO,SI
ACA 863,ACA,63,,60541,3830,49.64,4123,2007-2008,Tandil,-37.31680472,-59.13307167,Tandil  2007-2008,Convencional,Normal,70,Convencional,62000,17/11/2007,NO,SI
ACA 863,ACA,63,155,46467,3936,47.07,4136,2007-2008,Vicuña Mackenna,-33.91655694,-64.38342528,Vicuña Mackenna  2007-2008,Convencional,Normal,70,Directa,41000,25/10/2007,NO,SI
ACA 863,ACA,68,210,,3340,47.63,3528,2007-2008,Villegas,-35.03371806,-63.01708472,Villegas  2007-2008,Convencional,Normal,70,Convencional,,31/10/2007,NO,SI
ACA 863,ACA,70,180,,3958,50.26,4285,2008-2009,Asturias,-36.171533,-61.872622,Asturias  2008-2009,Convencional,Normal,,,,22/10/2008,NO,SI
ACA 863,ACA,73,134,57444,1752,48.57,1867,2008-2009,Balcarce,-37.84985917,-58.26744333,Balcarce  2008-2009,Convencional,Normal,70,Directa,60000,23/10/2008,NO,SI
ACA 863,ACA,68,129,45016,2756,46.42,2878,2008-2009,Barrow,-38.311904,-60.231644,Barrow  2008-2009,Convencional,Normal,70,Convencional,45000,05/11/2008,NO,SI
ACA 863,ACA,74,98,44616,1599,46.59,1672,2008-2009,Bellocq,-35.932778,-61.487778,Bellocq  2008-2009,Convencional,Normal,70,Directa,45000,24/10/2008,NO,SI
ACA 863,ACA,,169,36488,2320,50.7,2522,2008-2009,Bulnes,-33.51651972,-64.68343278,Bulnes  2008-2009,Convencional,Normal,52,Directa,45000,22/10/2008,NO,SI
ACA 863,ACA,66,127,46348,1197,42.5,1203,2008-2009,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2008-2009,Convencional,Normal,70,Convencional,45000,31/10/2008,NO,SI
ACA 863,ACA,70,140,46063,2169,46.06,2257,2008-2009,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2008-2009,Convencional,Normal,70,Directa,45000,30/10/2008,NO,SI
ACA 863,ACA,68,173,,3190,,,2008-2009,General Villegas,-35.03371806,-63.01708472,General Villegas  2008-2009,Convencional,Normal,70,Directa,,30/10/2008,NO,SI
ACA 863,ACA,78,103,,1181,49.88,1274,2008-2009,Gualeguaychu,-33.01647778,-58.51637722,Gualeguaychu  2008-2009,Convencional,Normal,,,,04/10/2008,NO,SI
ACA 863,ACA,,138,31049,1775,49.4,1906,2008-2009,Huinca Renanco,-34.83329556,-64.3667525,Huinca Renanco  2008-2009,Convencional,Normal,70,Directa,30000,21/10/2008,NO,SI
ACA 863,ACA,72,,48782,2997,52.56,3313,2008-2009,Intendente Alvear,-35.24999,-63.566695,Intendente Alvear  2008-2009,Convencional,Normal,70,Directa,52000,31/10/2008,NO,SI
ACA 863,ACA,,,47534,982,41.76,980,2008-2009,Las Toscas,-28.34944556,-59.26643694,Las Toscas  2008-2009,Convencional,Normal,70,Convencional,45000,23/08/2008,NO,SI
ACA 863,ACA,58,155,44608,2232,46.3,2328,2008-2009,Manfredi,-31.83306333,-63.75004361,Manfredi  2008-2009,Convencional,Normal,52,Directa,43000,03/11/2008,NO,SI
ACA 863,ACA,58,179,41045,2874,50.1,3107,2008-2009,Manfredi,-31.83306333,-63.75004361,Manfredi  2008-2009,Convencional,Normal,70,Directa,43000,05/11/2008,NO,SI
ACA 863,ACA,76,,,3692,49.35,3963,2008-2009,Miramar,-38.25021556,-57.83298972,Miramar  2008-2009,Convencional,Normal,70,Convencional,45000,31/10/2008,NO,SI
ACA 863,ACA,71,190,,2469,50.25,2673,2008-2009,Parana,-31.73305611,-60.53317889,Parana  2008-2009,Convencional,Normal,,,,07/10/2008,NO,SI
ACA 863,ACA,79,108,48571,2582,49.39,2773,2008-2009,Pieres,-38.393776,-58.672387,Pieres  2008-2009,Convencional,Normal,52,Directa,56000,30/10/2008,NO,SI
ACA 863,ACA,70,156,,2475,50.61,2688,2008-2009,Rafaela,-31.26634222,-61.48323694,Rafaela  2008-2009,Convencional,Normal,,Directa,,20/10/2008,NO,SI
ACA 863,ACA,68,150,35455,1119,50.08,1209,2008-2009,Rancul,-35.0666525,-64.68345083,Rancul  2008-2009,Convencional,Normal,52,Directa,42000,4/11/2008,NO,SI
ACA 863,ACA,80,148,46472,2233,51.24,2439,2008-2009,Reconquista,-29.14952389,-59.66645806,Reconquista  2008-2009,Convencional,Normal,70,Directa,47000,24/8/2008,NO,SI
ACA 863,ACA,65,135,,1901,47.92,2014,2008-2009,Rocamora,-32.345084,-58.972316,Rocamora  2008-2009,Convencional,Normal,,,,09/10/2008,NO,SI
ACA 863,ACA,70,144,,4228,54.04,4737,2008-2009,Tandil,-37.31680472,-59.13307167,Tandil  2008-2009,Convencional,Normal,70,Convencional,58000,31/10/2008,NO,SI
ACA 863,ACA,,,,802,45.68,832,2008-2009,Tres Lomas,-36.46674694,-62.86666194,Tres Lomas  2008-2009,Convencional,Normal,70,Convencional,,06/11/2008,NO,SI
ACA 863,ACA,,169,40058,2934,,,2008-2009,Vicuña Mackenna,-33.91655694,-64.38342528,Vicuña Mackenna  2008-2009,Convencional,Normal,70,Directa,46000,12/11/2008,NO,SI
